date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex_x,year,month,day,time,tempC,tempF,windspeedMiles,windspeedKmph,winddirDegree,winddir16Point,weatherCode,weatherDesc,precipMM,precipInches,humidity,visibility,visibilityMiles,pressure,pressureInches,cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF,uvIndex_y,region
2020-08-01,32,90,20,68,28,82,0.0,15.6,7,2020,8,1,24,32,90,11,18,151,SSE,116,Partly cloudy,0.0,0.0,42,10,6,1006,30,24,26,79,10,51,26,80,16,26,26,79,7,Ақмола
2020-08-02,26,79,22,72,25,76,0.0,15.6,5,2020,8,2,24,26,79,9,14,218,SW,200,Thundery outbreaks possible,0.0,0.0,43,10,6,1006,30,19,25,77,11,51,24,76,14,23,25,77,5,Ақмола
2020-08-03,21,70,18,65,20,69,0.0,12.6,5,2020,8,3,24,21,70,8,13,169,S,266,Light drizzle,1.4,0.1,64,7,4,1009,30,61,21,69,13,56,20,68,12,19,20,68,5,Ақмола
2020-08-04,23,74,15,60,19,66,0.0,12.6,4,2020,8,4,24,23,74,11,17,238,WSW,353,Light rain shower,14.6,0.6,79,8,5,1005,30,74,19,66,14,58,18,65,15,25,18,65,4,Ақмола
2020-08-05,31,87,18,65,25,77,0.0,14.4,5,2020,8,5,24,31,87,8,13,133,SE,386,Patchy light rain with thunder,11.0,0.4,70,9,5,1009,30,69,25,77,17,62,24,75,13,21,25,77,5,Ақмола
2020-08-06,30,87,23,73,27,81,0.0,14.5,7,2020,8,6,24,30,87,14,22,56,ENE,116,Partly cloudy,0.0,0.0,52,10,6,1011,30,20,27,81,15,60,26,79,20,32,27,81,7,Ақмола
2020-08-07,31,88,21,70,27,80,0.0,14.5,7,2020,8,7,24,31,88,12,19,33,NNE,116,Partly cloudy,0.0,0.0,51,10,6,1009,30,10,27,80,15,58,26,79,17,28,27,80,7,Ақмола
2020-08-08,28,82,21,70,25,76,0.0,12.5,5,2020,8,8,24,28,82,14,23,236,WSW,353,Light rain shower,1.7,0.1,62,10,6,1005,30,34,25,77,16,60,24,75,20,32,25,77,5,Ақмола
2020-08-09,21,69,17,62,19,67,0.0,11.4,4,2020,8,9,24,21,69,17,28,337,NNW,353,Light rain shower,0.7,0.0,62,10,6,1003,30,54,19,67,11,52,19,66,23,37,19,66,4,Ақмола
2020-08-10,23,73,15,60,19,67,0.0,14.5,4,2020,8,10,24,23,73,19,31,329,NNW,176,Patchy rain possible,0.3,0.0,58,10,6,1003,30,44,19,66,10,49,19,65,26,42,19,65,4,Ақмола
2020-08-11,22,72,14,57,19,66,0.0,11.6,5,2020,8,11,24,22,72,14,23,332,NNW,116,Partly cloudy,0.0,0.0,58,10,6,1008,30,6,19,65,9,48,18,64,19,31,18,64,5,Ақмола
2020-08-12,24,75,14,58,20,68,0.0,11.6,5,2020,8,12,24,24,75,5,9,284,WNW,116,Partly cloudy,0.0,0.0,55,10,6,1011,30,9,19,67,9,48,19,66,8,14,19,66,5,Ақмола
2020-08-13,23,74,16,61,20,68,0.0,9.4,5,2020,8,13,24,23,74,9,14,141,SE,296,Light rain,2.5,0.1,57,10,6,1009,30,41,19,66,10,50,19,66,14,23,19,66,5,Ақмола
2020-08-14,24,75,17,62,21,70,0.0,11.6,6,2020,8,14,24,24,75,11,18,235,SW,116,Partly cloudy,14.0,0.6,60,9,5,1004,30,35,21,70,11,52,20,69,16,27,20,69,6,Ақмола
2020-08-15,20,68,15,60,18,65,0.0,8.3,4,2020,8,15,24,20,68,11,18,240,WSW,386,Patchy light rain with thunder,1.1,0.0,58,10,6,1004,30,50,18,65,10,49,18,65,15,24,18,65,4,Ақмола
2020-08-16,18,64,14,56,16,60,0.0,7.2,4,2020,8,16,24,18,64,12,20,274,W,353,Light rain shower,1.3,0.1,75,10,6,1005,30,88,15,60,11,51,14,58,17,27,14,58,4,Ақмола
2020-08-17,20,68,13,56,17,63,0.0,8.3,4,2020,8,17,24,20,68,12,19,295,WNW,176,Patchy rain possible,1.0,0.0,65,10,6,1005,30,75,17,62,10,49,16,61,16,26,16,61,4,Ақмола
2020-08-18,17,63,14,57,16,60,0.0,8.2,4,2020,8,18,24,17,63,15,24,305,NW,353,Light rain shower,3.1,0.1,74,10,6,1003,30,80,15,60,11,51,15,59,20,32,15,59,4,Ақмола
2020-08-19,19,65,12,53,16,61,0.0,10.5,4,2020,8,19,24,19,65,10,16,296,WNW,122,Overcast,0.0,0.0,57,10,6,1009,30,41,15,59,7,44,15,58,14,23,15,58,4,Ақмола
2020-08-20,20,67,11,52,16,61,0.0,11.6,5,2020,8,20,24,20,67,8,12,318,NW,116,Partly cloudy,0.0,0.0,51,10,6,1011,30,13,15,59,4,40,15,59,11,18,15,59,5,Ақмола
2020-08-21,19,66,12,53,16,61,0.0,11.6,5,2020,8,21,24,19,66,7,12,330,NNW,116,Partly cloudy,0.0,0.0,60,10,6,1012,30,21,15,60,7,45,15,59,11,18,15,59,5,Ақмола
2020-08-22,21,71,12,53,18,64,0.0,10.5,4,2020,8,22,24,21,71,7,11,202,SSW,119,Cloudy,0.0,0.0,67,9,5,1013,30,30,17,62,10,50,16,61,10,17,16,61,4,Ақмола
2020-08-23,21,71,13,55,18,64,0.0,11.6,5,2020,8,23,24,21,71,10,15,18,NNE,116,Partly cloudy,0.0,0.0,63,10,6,1013,30,8,17,63,9,48,16,62,14,23,16,62,5,Ақмола
2020-08-24,24,75,13,56,19,67,0.0,11.6,5,2020,8,24,24,24,75,8,13,12,NNE,116,Partly cloudy,0.0,0.0,58,10,6,1013,30,10,19,66,9,48,18,64,12,19,18,64,5,Ақмола
2020-08-25,27,80,16,61,23,73,0.0,11.6,6,2020,8,25,24,27,80,6,9,306,NW,116,Partly cloudy,0.0,0.0,54,10,6,1016,30,17,21,71,11,51,21,70,9,14,21,71,6,Ақмола
2020-08-26,29,85,19,67,25,77,0.0,11.6,7,2020,8,26,24,29,85,6,9,258,WSW,116,Partly cloudy,0.0,0.0,41,10,6,1015,30,29,24,75,10,50,24,75,9,15,24,75,7,Ақмола
2020-08-27,29,85,21,69,26,78,0.0,11.6,7,2020,8,27,24,29,85,8,13,180,S,116,Partly cloudy,0.0,0.0,35,10,6,1014,30,9,25,77,7,45,25,76,14,22,25,77,7,Ақмола
2020-08-28,32,90,21,70,28,82,0.0,11.6,7,2020,8,28,24,32,90,11,18,187,S,116,Partly cloudy,0.0,0.0,25,10,6,1012,30,7,26,79,4,40,26,79,18,28,26,79,7,Ақмола
2020-08-29,31,87,22,71,27,80,0.0,9.3,6,2020,8,29,24,31,87,9,15,199,SSW,122,Overcast,0.0,0.0,25,10,6,1012,30,36,25,78,4,39,26,78,15,24,25,78,6,Ақмола
2020-08-30,28,82,18,64,23,74,0.0,11.6,6,2020,8,30,24,28,82,9,15,327,NNW,116,Partly cloudy,0.0,0.0,51,10,6,1015,30,13,23,73,11,52,22,72,15,23,23,73,6,Ақмола
2020-08-31,28,83,17,63,23,74,0.0,11.6,6,2020,8,31,24,28,83,8,13,80,E,116,Partly cloudy,0.0,0.0,52,10,6,1019,31,17,22,72,10,50,22,72,13,21,22,72,6,Ақмола
2020-08-01,37,99,22,72,32,89,0.0,10.5,7,2020,8,1,24,37,99,9,14,147,SSE,176,Patchy rain possible,0.1,0.0,31,10,6,1005,30,15,30,87,9,48,30,86,13,20,30,87,7,Ақтөбе
2020-08-02,36,97,23,74,31,88,0.0,11.6,8,2020,8,2,24,36,97,5,8,220,SW,116,Partly cloudy,0.0,0.0,21,10,6,1005,30,3,29,84,4,39,29,85,8,13,29,84,8,Ақтөбе
2020-08-03,38,101,24,75,33,91,0.0,11.6,8,2020,8,3,24,38,101,12,19,70,ENE,116,Partly cloudy,0.0,0.0,22,10,6,1002,30,3,31,88,6,43,32,89,17,27,31,88,8,Ақтөбе
2020-08-04,39,101,24,75,33,91,0.0,11.6,8,2020,8,4,24,39,101,8,13,110,ESE,116,Partly cloudy,0.0,0.0,20,10,6,1000,30,3,31,87,5,41,31,88,13,22,31,87,8,Ақтөбе
2020-08-05,39,102,25,77,34,93,0.0,11.6,8,2020,8,5,24,39,102,8,13,213,SSW,116,Partly cloudy,0.0,0.0,18,10,6,1001,30,2,31,88,4,39,32,90,12,20,31,88,8,Ақтөбе
2020-08-06,41,106,25,77,35,95,0.0,11.6,9,2020,8,6,24,41,106,7,11,185,S,116,Partly cloudy,0.0,0.0,15,10,6,1004,30,4,34,92,3,37,34,93,11,18,34,92,9,Ақтөбе
2020-08-07,39,103,25,76,34,92,0.0,11.6,8,2020,8,7,24,39,103,10,16,265,W,116,Partly cloudy,0.0,0.0,17,10,6,1005,30,14,32,89,4,39,32,90,15,24,32,89,8,Ақтөбе
2020-08-08,38,100,24,74,33,91,0.0,11.6,7,2020,8,8,24,38,100,8,13,225,SW,176,Patchy rain possible,0.3,0.0,25,10,6,1003,30,31,31,88,7,45,31,88,12,20,31,88,7,Ақтөбе
2020-08-09,36,97,27,80,32,90,0.0,11.6,8,2020,8,9,24,36,97,7,11,238,WSW,116,Partly cloudy,0.0,0.0,22,10,6,1003,30,9,30,86,6,44,31,88,9,15,30,86,8,Ақтөбе
2020-08-10,39,102,26,79,34,93,0.0,11.6,8,2020,8,10,24,39,102,10,16,205,SSW,116,Partly cloudy,0.0,0.0,17,10,6,1002,30,3,31,89,4,39,32,90,15,24,31,89,8,Ақтөбе
2020-08-11,33,91,22,72,28,83,0.0,11.6,7,2020,8,11,24,33,91,9,15,310,NW,116,Partly cloudy,0.0,0.0,22,10,6,1005,30,2,27,81,3,38,28,82,14,22,27,81,7,Ақтөбе
2020-08-12,33,91,21,70,28,83,0.0,11.6,7,2020,8,12,24,33,91,8,12,271,W,116,Partly cloudy,0.0,0.0,17,10,6,1007,30,11,26,79,-0,31,27,80,11,17,26,79,7,Ақтөбе
2020-08-13,33,91,21,70,29,83,0.0,11.6,7,2020,8,13,24,33,91,6,9,227,SW,116,Partly cloudy,0.0,0.0,19,10,6,1007,30,11,26,79,1,34,27,80,8,13,26,79,7,Ақтөбе
2020-08-14,35,95,20,68,29,83,0.0,11.6,7,2020,8,14,24,35,95,5,8,309,NW,113,Sunny,0.0,0.0,18,10,6,1005,30,0,27,80,0,32,27,81,8,13,27,80,7,Ақтөбе
2020-08-15,37,99,21,71,31,87,0.0,11.6,8,2020,8,15,24,37,99,7,12,152,SSE,113,Sunny,0.0,0.0,16,10,6,1004,30,0,29,83,0,33,29,85,12,19,29,83,8,Ақтөбе
2020-08-16,38,100,23,73,33,91,0.0,11.6,8,2020,8,16,24,38,100,8,12,295,WNW,116,Partly cloudy,0.0,0.0,17,10,6,1003,30,7,30,86,3,37,31,88,12,19,30,86,8,Ақтөбе
2020-08-17,34,94,24,74,30,86,0.0,9.3,6,2020,8,17,24,34,94,10,16,324,NW,176,Patchy rain possible,0.3,0.0,27,10,6,1004,30,34,29,84,7,45,29,84,15,23,29,84,6,Ақтөбе
2020-08-18,30,86,19,66,26,78,0.0,11.6,7,2020,8,18,24,30,86,8,13,299,WNW,113,Sunny,0.0,0.0,23,10,6,1008,30,4,24,75,2,35,25,76,12,19,24,75,7,Ақтөбе
2020-08-19,31,89,18,65,26,79,0.0,11.6,7,2020,8,19,24,31,89,6,9,204,SSW,113,Sunny,0.0,0.0,20,10,6,1009,30,0,24,75,-0,32,24,76,9,15,24,75,7,Ақтөбе
2020-08-20,33,91,18,65,27,81,0.0,11.6,7,2020,8,20,24,33,91,7,11,172,S,116,Partly cloudy,0.0,0.0,21,10,6,1006,30,2,25,77,1,34,26,78,11,17,25,77,7,Ақтөбе
2020-08-21,32,90,19,66,27,81,0.0,11.6,7,2020,8,21,24,32,90,5,8,252,WSW,113,Sunny,0.0,0.0,16,10,6,1009,30,0,25,77,-2,28,25,78,8,13,25,77,7,Ақтөбе
2020-08-22,35,95,19,67,29,84,0.0,11.6,7,2020,8,22,24,35,95,8,13,146,SSE,116,Partly cloudy,0.0,0.0,17,10,6,1006,30,11,27,81,-1,30,28,82,14,22,27,81,7,Ақтөбе
2020-08-23,39,101,21,71,32,90,0.0,11.6,8,2020,8,23,24,39,101,9,15,74,ENE,116,Partly cloudy,0.0,0.0,14,10,6,1003,30,10,30,86,-1,30,31,87,15,25,30,86,8,Ақтөбе
2020-08-24,42,107,27,80,37,99,0.0,11.6,9,2020,8,24,24,42,107,15,24,166,SSE,116,Partly cloudy,0.0,0.0,13,10,6,998,30,33,34,94,2,35,35,95,22,35,34,94,9,Ақтөбе
2020-08-25,30,85,20,68,25,78,0.0,11.6,7,2020,8,25,24,30,85,12,20,263,W,116,Partly cloudy,0.0,0.0,38,10,6,1009,30,14,25,77,9,49,25,77,17,27,25,77,7,Ақтөбе
2020-08-26,24,75,14,57,21,70,0.0,8.0,5,2020,8,26,24,24,75,8,14,259,WSW,356,Moderate or heavy rain shower,10.9,0.4,54,9,5,1012,30,77,22,72,12,54,21,69,12,20,21,69,5,Ақтөбе
2020-08-27,26,79,17,63,22,72,0.0,11.6,5,2020,8,27,24,26,79,8,13,176,S,176,Patchy rain possible,2.7,0.1,50,10,5,1014,30,41,22,71,10,51,21,70,12,19,22,71,5,Ақтөбе
2020-08-28,32,89,19,67,27,80,0.0,11.6,7,2020,8,28,24,32,89,16,26,52,NE,116,Partly cloudy,0.0,0.0,33,10,6,1011,30,1,25,77,8,46,25,78,23,37,25,77,7,Ақтөбе
2020-08-29,35,94,22,71,29,85,0.0,11.6,7,2020,8,29,24,35,94,13,20,59,ENE,113,Sunny,0.0,0.0,23,10,6,1007,30,0,28,82,4,40,28,83,20,31,28,82,7,Ақтөбе
2020-08-30,35,95,21,71,29,85,0.0,11.6,7,2020,8,30,24,35,95,6,10,141,SE,116,Partly cloudy,0.0,0.0,23,10,6,1006,30,1,27,81,4,40,28,83,10,17,27,81,7,Ақтөбе
2020-08-31,31,88,21,69,28,82,0.0,9.2,6,2020,8,31,24,31,88,11,18,127,SE,299,Moderate rain at times,0.9,0.0,27,10,6,1008,30,34,27,80,7,45,27,80,18,28,27,80,6,Ақтөбе
2020-08-01,31,87,18,65,27,80,0.0,9.2,6,2020,8,1,24,31,87,4,6,143,SE,299,Moderate rain at times,4.6,0.2,44,10,5,1011,30,73,25,76,10,51,25,76,6,10,25,76,6,Алматы қаласы
2020-08-02,26,79,15,58,23,73,0.0,9.2,5,2020,8,2,24,26,79,4,6,225,SW,353,Light rain shower,9.1,0.4,56,10,5,1010,30,67,22,71,12,53,21,70,7,11,22,71,5,Алматы қаласы
2020-08-03,29,85,15,58,24,76,0.0,10.2,5,2020,8,3,24,29,85,5,8,130,SE,386,Patchy light rain with thunder,6.4,0.3,50,10,5,1008,30,70,23,73,11,51,22,71,8,13,23,73,5,Алматы қаласы
2020-08-04,33,91,17,63,28,82,0.0,11.3,6,2020,8,4,24,33,91,5,7,169,S,176,Patchy rain possible,0.9,0.0,34,10,6,1006,30,42,26,78,7,45,26,79,8,13,26,78,6,Алматы қаласы
2020-08-05,36,97,16,60,29,84,0.0,12.4,6,2020,8,5,24,36,97,5,8,211,SSW,176,Patchy rain possible,0.6,0.0,31,10,6,1009,30,24,26,79,7,44,26,79,9,14,26,79,6,Алматы қаласы
2020-08-06,37,98,20,69,31,88,0.0,11.3,7,2020,8,6,24,37,98,4,7,162,SSE,176,Patchy rain possible,0.3,0.0,31,10,6,1012,30,34,29,85,9,48,29,84,7,12,29,85,7,Алматы қаласы
2020-08-07,35,96,21,70,29,85,0.0,11.3,6,2020,8,7,24,35,96,4,6,207,SSW,176,Patchy rain possible,0.8,0.0,32,10,6,1012,30,34,28,82,8,46,27,81,6,9,28,82,6,Алматы қаласы
2020-08-08,35,94,17,63,29,84,0.0,11.3,6,2020,8,8,24,35,94,4,6,193,SSW,176,Patchy rain possible,0.3,0.0,30,10,6,1008,30,44,26,79,6,42,26,79,6,10,26,79,6,Алматы қаласы
2020-08-09,28,82,19,67,24,74,0.0,9.1,5,2020,8,9,24,28,82,6,9,182,S,263,Patchy light drizzle,3.0,0.1,48,9,5,1008,30,67,25,76,11,53,23,74,9,14,25,76,5,Алматы қаласы
2020-08-10,32,89,18,65,27,81,0.0,9.1,6,2020,8,10,24,32,89,5,8,216,SW,299,Moderate rain at times,2.5,0.1,45,10,6,1009,30,70,25,77,11,52,25,77,7,11,25,77,6,Алматы қаласы
2020-08-11,32,89,21,70,28,82,0.0,12.3,6,2020,8,11,24,32,89,7,11,182,S,176,Patchy rain possible,3.0,0.1,34,10,6,1008,30,32,26,80,8,47,26,78,12,19,26,80,6,Алматы қаласы
2020-08-12,29,85,16,60,25,76,0.0,11.1,5,2020,8,12,24,29,85,4,6,198,SSW,176,Patchy rain possible,2.3,0.1,41,10,6,1009,30,45,23,73,8,46,23,73,6,10,23,73,5,Алматы қаласы
2020-08-13,26,80,15,58,22,72,0.0,9.9,5,2020,8,13,24,26,80,3,5,189,S,176,Patchy rain possible,0.8,0.0,36,10,6,1010,30,64,20,69,4,39,20,68,5,8,20,68,5,Алматы қаласы
2020-08-14,31,87,17,63,26,79,0.0,14.0,7,2020,8,14,24,31,87,5,8,210,SSW,116,Partly cloudy,0.1,0.0,35,10,6,1011,30,11,24,74,6,43,24,75,7,11,24,74,7,Алматы қаласы
2020-08-15,33,91,19,67,28,82,0.0,12.2,6,2020,8,15,24,33,91,4,7,246,WSW,176,Patchy rain possible,0.4,0.0,27,10,6,1010,30,22,26,79,5,40,26,79,6,10,26,79,6,Алматы қаласы
2020-08-16,32,90,16,60,28,82,0.0,13.3,6,2020,8,16,24,32,90,5,7,210,SSW,176,Patchy rain possible,0.3,0.0,30,10,6,1008,30,19,25,76,5,41,25,77,8,12,25,76,6,Алматы қаласы
2020-08-17,36,98,16,61,30,85,0.0,13.3,6,2020,8,17,24,36,98,6,9,162,SSE,263,Patchy light drizzle,2.7,0.1,34,9,5,1008,30,27,27,80,7,44,26,80,9,15,27,80,6,Алматы қаласы
2020-08-18,20,69,16,62,19,65,0.0,10.4,4,2020,8,18,24,20,69,5,8,210,SSW,293,Patchy light rain,6.4,0.3,62,9,5,1011,30,39,18,65,11,51,18,65,8,13,18,65,4,Алматы қаласы
2020-08-19,26,78,13,56,21,71,0.0,8.0,5,2020,8,19,24,26,78,4,7,126,SE,176,Patchy rain possible,0.6,0.0,51,10,6,1012,30,60,20,68,9,48,20,68,6,10,20,68,5,Алматы қаласы
2020-08-20,29,85,18,64,25,77,0.0,7.9,5,2020,8,20,24,29,85,4,7,235,SW,176,Patchy rain possible,1.6,0.1,39,10,6,1009,30,41,24,75,8,46,24,74,7,11,24,75,5,Алматы қаласы
2020-08-21,27,81,18,64,24,75,0.0,9.2,5,2020,8,21,24,27,81,6,10,229,SW,176,Patchy rain possible,0.5,0.0,35,10,6,1012,30,34,23,74,6,42,22,72,9,15,23,74,5,Алматы қаласы
2020-08-22,28,83,15,58,23,74,0.0,7.9,5,2020,8,22,24,28,83,3,5,212,SSW,122,Overcast,0.0,0.0,34,10,6,1010,30,43,22,72,4,40,22,71,6,10,22,72,5,Алматы қаласы
2020-08-23,31,87,13,56,25,77,0.0,11.6,7,2020,8,23,24,31,87,4,6,248,WSW,116,Partly cloudy,0.0,0.0,31,10,6,1008,30,9,23,73,4,39,23,73,7,10,23,73,7,Алматы қаласы
2020-08-24,33,92,14,58,27,80,0.0,11.6,7,2020,8,24,24,33,92,5,8,152,SSE,116,Partly cloudy,0.0,0.0,28,10,6,1007,30,21,24,75,4,39,24,76,7,12,24,75,7,Алматы қаласы
2020-08-25,30,86,17,63,26,78,0.0,10.4,6,2020,8,25,24,30,86,7,11,236,WSW,176,Patchy rain possible,0.1,0.0,33,10,6,1009,30,25,24,76,6,43,24,76,10,16,24,76,6,Алматы қаласы
2020-08-26,27,80,11,53,22,72,0.0,7.9,5,2020,8,26,24,27,80,4,7,125,SE,263,Patchy light drizzle,2.1,0.1,54,9,5,1012,30,41,21,69,9,48,20,68,6,10,21,69,5,Алматы қаласы
2020-08-27,19,66,12,54,16,61,0.0,6.6,4,2020,8,27,24,19,66,4,6,178,S,353,Light rain shower,40.6,1.6,79,8,4,1017,31,79,15,59,11,53,15,59,4,7,15,59,4,Алматы қаласы
2020-08-28,23,73,13,56,19,67,0.0,9.1,4,2020,8,28,24,23,73,4,7,133,SE,176,Patchy rain possible,0.4,0.0,56,10,6,1018,31,42,19,65,9,48,18,65,6,10,18,65,4,Алматы қаласы
2020-08-29,24,75,17,62,22,71,0.0,11.6,6,2020,8,29,24,24,75,5,9,140,SE,116,Partly cloudy,0.0,0.0,42,10,6,1015,30,3,22,71,6,44,20,69,7,12,20,69,6,Алматы қаласы
2020-08-30,29,84,14,58,23,74,0.0,9.1,5,2020,8,30,24,29,84,3,5,218,SW,176,Patchy rain possible,0.3,0.0,45,10,6,1013,30,21,22,71,8,46,21,69,5,8,22,71,5,Алматы қаласы
2020-08-31,29,84,13,56,25,76,0.0,10.3,5,2020,8,31,24,29,84,4,6,139,SE,353,Light rain shower,0.4,0.0,38,10,6,1013,30,25,22,72,6,43,22,71,7,11,22,72,5,Алматы қаласы
2020-08-01,29,85,18,65,25,77,0.0,15.6,7,2020,8,1,24,29,85,4,6,95,E,116,Partly cloudy,0.0,0.0,50,10,6,1013,30,22,24,76,12,54,24,75,6,10,24,76,7,Астана қаласы
2020-08-02,30,86,19,66,26,79,0.0,14.5,7,2020,8,2,24,30,86,10,16,101,E,116,Partly cloudy,0.0,0.0,46,10,6,1015,30,7,25,77,12,54,25,77,15,24,25,77,7,Астана қаласы
2020-08-03,30,86,20,67,27,80,0.0,14.5,7,2020,8,3,24,30,86,11,17,55,NE,116,Partly cloudy,0.0,0.0,49,10,6,1014,30,16,26,78,14,56,25,77,16,25,26,78,7,Астана қаласы
2020-08-04,27,81,17,63,23,74,0.0,13.5,5,2020,8,4,24,27,81,13,21,58,ENE,122,Overcast,0.0,0.0,56,10,6,1011,30,26,23,74,13,56,23,73,19,30,23,74,5,Астана қаласы
2020-08-05,28,82,17,63,24,75,0.0,14.5,6,2020,8,5,24,28,82,14,23,64,ENE,116,Partly cloudy,0.0,0.0,54,10,6,1012,30,6,24,75,12,54,23,73,21,34,24,75,6,Астана қаласы
2020-08-06,28,83,17,62,24,76,0.0,14.5,6,2020,8,6,24,28,83,13,21,85,E,113,Sunny,0.0,0.0,45,10,6,1015,30,1,24,75,10,50,23,74,20,32,24,75,6,Астана қаласы
2020-08-07,31,87,17,63,26,79,0.0,14.5,7,2020,8,7,24,31,87,11,17,97,E,116,Partly cloudy,0.0,0.0,35,10,6,1012,30,1,24,76,7,45,25,76,17,27,24,76,7,Астана қаласы
2020-08-08,31,87,19,67,26,79,0.0,14.5,7,2020,8,8,24,31,87,10,16,116,ESE,116,Partly cloudy,0.0,0.0,40,10,6,1005,30,11,26,78,10,51,25,77,15,24,26,78,7,Астана қаласы
2020-08-09,29,85,19,67,25,77,0.0,11.4,5,2020,8,9,24,29,85,15,24,172,S,176,Patchy rain possible,3.7,0.1,43,9,5,998,30,67,24,75,11,51,24,74,24,38,24,75,5,Астана қаласы
2020-08-10,30,85,17,63,25,76,0.0,13.5,5,2020,8,10,24,30,85,11,17,213,SSW,176,Patchy rain possible,0.7,0.0,51,10,6,997,30,56,23,73,11,52,23,73,17,27,23,73,5,Астана қаласы
2020-08-11,20,68,8,47,16,61,0.0,11.4,4,2020,8,11,24,20,68,10,15,203,SSW,353,Light rain shower,6.4,0.3,71,9,5,996,30,78,16,61,12,53,15,60,14,23,15,60,4,Астана қаласы
2020-08-12,23,73,14,57,19,66,0.0,9.3,4,2020,8,12,24,23,73,12,19,250,WSW,386,Patchy light rain with thunder,13.8,0.5,73,9,5,997,30,84,19,66,12,54,18,64,18,30,18,64,4,Астана қаласы
2020-08-13,19,66,13,56,17,62,0.0,10.3,4,2020,8,13,24,19,66,11,17,296,WNW,353,Light rain shower,1.6,0.1,80,10,6,1005,30,76,16,60,12,54,15,59,15,24,15,59,4,Астана қаласы
2020-08-14,18,65,10,50,15,58,0.0,11.3,3,2020,8,14,24,18,65,6,9,299,WNW,176,Patchy rain possible,0.2,0.0,72,9,5,1010,30,65,15,58,10,49,13,56,8,13,13,56,3,Астана қаласы
2020-08-15,23,74,13,56,19,66,0.0,11.6,4,2020,8,15,24,23,74,3,5,137,SE,176,Patchy rain possible,0.4,0.0,55,10,6,1011,30,48,18,65,9,48,18,64,5,7,18,64,4,Астана қаласы
2020-08-16,26,79,14,58,22,71,0.0,10.5,5,2020,8,16,24,26,79,8,13,121,ESE,122,Overcast,0.0,0.0,48,10,6,1005,30,32,21,69,9,48,20,68,14,22,20,68,5,Астана қаласы
2020-08-17,23,73,14,57,20,68,0.0,11.6,5,2020,8,17,24,23,73,13,21,234,SW,116,Partly cloudy,0.0,0.0,53,10,6,1001,30,15,20,68,8,47,19,66,18,30,19,66,5,Астана қаласы
2020-08-18,21,70,14,57,19,66,0.0,11.6,4,2020,8,18,24,21,70,12,20,231,SW,386,Patchy light rain with thunder,2.0,0.1,52,9,5,1000,30,57,17,63,7,45,17,63,17,27,17,63,4,Астана қаласы
2020-08-19,20,69,13,56,16,61,0.0,8.2,4,2020,8,19,24,20,69,14,23,239,WSW,386,Patchy light rain with thunder,4.7,0.2,62,10,5,1000,30,64,16,60,8,47,14,58,21,33,14,58,4,Астана қаласы
2020-08-20,19,66,10,49,15,59,0.0,9.3,3,2020,8,20,24,19,66,13,20,248,WSW,266,Light drizzle,1.7,0.1,54,9,5,1004,30,30,14,58,4,39,13,55,19,30,13,55,3,Астана қаласы
2020-08-21,18,64,10,51,15,60,0.0,7.1,4,2020,8,21,24,18,64,13,21,240,WSW,353,Light rain shower,1.8,0.1,59,8,4,1005,30,74,14,58,6,43,13,56,19,31,13,56,4,Астана қаласы
